publication_date,keywords_count
2012-03-01,110
2012-03-02,158
2012-03-03,198
2012-03-04,54
2012-03-05,220
2012-03-06,126
2012-03-07,278
2012-03-08,122
2012-03-09,324
2012-03-10,93
2012-03-11,72
2012-03-12,88
2012-03-13,204
2012-03-14,120
2012-03-15,222
2012-03-16,146
2012-03-17,194
2012-03-18,46
2012-03-19,190
2012-03-20,98
2012-03-21,272
2012-03-22,132
2012-03-23,262
2012-03-24,95
2012-03-25,96
2012-03-26,95
2012-03-27,150
2012-03-28,88
2012-03-29,188
2012-03-30,136
2012-03-31,202
2012-04-01,48
2012-04-02,86
2012-04-03,246
2012-04-04,110
2012-04-05,220
2012-04-06,125
2012-04-07,198
2012-04-08,25
2012-04-09,158
2012-04-10,95
2012-04-11,196
2012-04-12,128
2012-04-13,270
2012-04-14,82
2012-04-15,58
2012-04-16,97
2012-04-17,146
2012-04-18,94
2012-04-19,220
2012-04-20,127
2012-04-21,164
2012-04-22,30
2012-04-23,172
2012-04-24,90
2012-04-25,156
2012-04-26,109
2012-04-27,292
2012-04-28,82
2012-04-29,76
2012-04-30,82
2012-05-01,164
2012-05-02,83
2012-05-03,216
2012-05-04,136
2012-05-05,162
2012-05-06,36
2012-05-07,140
2012-05-08,109
2012-05-09,176
2012-05-10,108
2012-05-11,280
2012-05-12,70
2012-05-13,48
2012-05-14,50
2012-05-15,148
2012-05-16,93
2012-05-17,214
2012-05-18,100
2012-05-19,170
2012-05-20,27
2012-05-21,150
2012-05-22,65
2012-05-23,176
2012-05-24,101
2012-05-25,206
2012-05-26,65
2012-05-27,68
2012-05-28,42
2012-05-29,114
2012-05-30,85
2012-05-31,178
2012-06-01,310
2012-06-02,74
2012-06-03,46
2012-06-04,77
2012-06-05,180
2012-06-06,81
2012-06-07,238
2012-06-08,107
2012-06-09,132
2012-06-10,39
2012-06-11,118
2012-06-12,69
2012-06-13,156
2012-06-14,93
2012-06-15,272
2012-06-16,68
2012-06-17,38
2012-06-18,79
2012-06-19,170
2012-06-20,77
2012-06-21,208
2012-06-22,103
2012-06-23,132
2012-06-24,31
2012-06-25,122
2012-06-26,70
2012-06-27,156
2012-06-28,100
2012-06-29,214
2012-06-30,65
2012-07-01,48
2012-07-02,52
2012-07-03,116
2012-07-04,55
2012-07-05,152
2012-07-06,92
2012-07-07,110
2012-07-08,19
2012-07-09,126
2012-07-10,79
2012-07-11,148
2012-07-12,107
2012-07-13,222
2012-07-14,63
2012-07-15,70
2012-07-16,60
2012-07-17,162
2012-07-18,81
2012-07-19,204
2012-07-20,92
2012-07-21,124
2012-07-22,22
2012-07-23,104
2012-07-24,76
2012-07-25,166
2012-07-26,85
2012-07-27,210
2012-07-28,65
2012-07-29,50
2012-07-30,58
2012-07-31,154
2012-08-01,104
