publication_date,keywords_count
2008-03-01,319
2008-03-02,658
2008-03-03,586
2008-03-04,436
2008-03-05,810
2008-03-06,378
2008-03-07,656
2008-03-08,254
2008-03-09,1246
2008-03-10,228
2008-03-11,766
2008-03-12,526
2008-03-13,698
2008-03-14,314
2008-03-15,548
2008-03-16,615
2008-03-17,672
2008-03-18,423
2008-03-19,700
2008-03-20,365
2008-03-21,684
2008-03-22,246
2008-03-23,1136
2008-03-24,246
2008-03-25,600
2008-03-26,392
2008-03-27,792
2008-03-28,329
2008-03-29,548
2008-03-30,658
2008-03-31,608
2008-04-01,848
2008-04-02,395
2008-04-03,798
2008-04-04,314
2008-04-05,588
2008-04-06,641
2008-04-07,598
2008-04-08,390
2008-04-09,756
2008-04-10,364
2008-04-11,748
2008-04-12,278
2008-04-13,1306
2008-04-14,341
2008-04-15,778
2008-04-16,358
2008-04-17,776
2008-04-18,360
2008-04-19,548
2008-04-20,766
2008-04-21,706
2008-04-22,413
2008-04-23,756
2008-04-24,346
2008-04-25,554
2008-04-26,315
2008-04-27,1272
2008-04-28,281
2008-04-29,700
2008-04-30,406
2008-05-01,894
2008-05-02,327
2008-05-03,660
2008-05-04,600
2008-05-05,664
2008-05-06,418
2008-05-07,782
2008-05-08,423
2008-05-09,690
2008-05-10,253
2008-05-11,1216
2008-05-12,307
2008-05-13,866
2008-05-14,333
2008-05-15,764
2008-05-16,319
2008-05-17,626
2008-05-18,654
2008-05-19,624
2008-05-20,447
2008-05-21,872
2008-05-22,421
2008-05-23,720
2008-05-24,279
2008-05-25,1290
2008-05-26,284
2008-05-27,722
2008-05-28,294
2008-05-29,684
2008-05-30,333
2008-05-31,652
2008-06-01,1446
2008-06-02,295
2008-06-03,842
2008-06-04,374
2008-06-05,814
2008-06-06,386
2008-06-07,622
2008-06-08,625
2008-06-09,614
2008-06-10,367
2008-06-11,766
2008-06-12,329
2008-06-13,722
2008-06-14,280
2008-06-15,1252
2008-06-16,274
2008-06-17,782
2008-06-18,318
2008-06-19,752
2008-06-20,336
2008-06-21,630
2008-06-22,616
2008-06-23,568
2008-06-24,363
2008-06-25,772
2008-06-26,314
2008-06-27,714
2008-06-28,274
2008-06-29,1336
2008-06-30,280
2008-07-01,820
2008-07-02,426
2008-07-03,710
2008-07-04,259
2008-07-05,518
2008-07-06,560
2008-07-07,628
2008-07-08,359
2008-07-09,732
2008-07-10,288
2008-07-11,666
2008-07-12,287
2008-07-13,1244
2008-07-14,310
2008-07-15,724
2008-07-16,362
2008-07-17,772
2008-07-18,299
2008-07-19,602
2008-07-20,586
2008-07-21,648
2008-07-22,418
2008-07-23,784
2008-07-24,411
2008-07-25,706
2008-07-26,298
2008-07-27,1370
2008-07-28,309
2008-07-29,732
2008-07-30,313
2008-07-31,708
2008-08-01,309
