,publication_date,keywords_count
135,2012-07-14,63
136,2012-07-15,70
137,2012-07-16,60
138,2012-07-17,162
139,2012-07-18,81
140,2012-07-19,204
141,2012-07-20,92
142,2012-07-21,124
143,2012-07-22,22
144,2012-07-23,104
145,2012-07-24,76
146,2012-07-25,166
147,2012-07-26,85
148,2012-07-27,210
149,2012-07-28,65
150,2012-07-29,50
151,2012-07-30,58
152,2012-07-31,154
153,2012-08-01,104
0,2016-03-01,144
1,2016-03-02,214
2,2016-03-03,364
3,2016-03-04,194
4,2016-03-05,136
5,2016-03-06,55
6,2016-03-07,232
7,2016-03-08,111
8,2016-03-09,234
9,2016-03-10,135
10,2016-03-11,320
11,2016-03-12,87
12,2016-03-13,112
13,2016-03-14,109
14,2016-03-15,266
15,2016-03-16,190
16,2016-03-17,240
17,2016-03-18,117
18,2016-03-19,116
19,2016-03-20,39
20,2016-03-21,216
21,2016-03-22,118
22,2016-03-23,220
23,2016-03-24,120
24,2016-03-25,240
25,2016-03-26,58
26,2016-03-27,58
27,2016-03-28,97
28,2016-03-29,266
29,2016-03-30,116
30,2016-03-31,256
31,2016-04-01,232
32,2016-04-02,63
33,2016-04-03,54
34,2016-04-04,98
35,2016-04-05,236
36,2016-04-06,103
37,2016-04-07,244
38,2016-04-08,120
39,2016-04-09,162
40,2016-04-10,32
41,2016-04-11,142
42,2016-04-12,85
43,2016-04-13,248
44,2016-04-14,144
45,2016-04-15,270
46,2016-04-16,53
47,2016-04-17,78
48,2016-04-18,98
49,2016-04-19,198
50,2016-04-20,124
51,2016-04-21,244
52,2016-04-22,112
53,2016-04-23,104
54,2016-04-24,34
55,2016-04-25,146
56,2016-04-26,105
57,2016-04-27,262
58,2016-04-28,124
59,2016-04-29,280
60,2016-04-30,53
61,2016-05-01,72
62,2016-05-02,94
63,2016-05-03,202
64,2016-05-04,99
65,2016-05-05,270
66,2016-05-06,127
67,2016-05-07,126
68,2016-05-08,51
69,2016-05-09,186
70,2016-05-10,114
71,2016-05-11,224
72,2016-05-12,104
73,2016-05-13,260
74,2016-05-14,37
75,2016-05-15,58
76,2016-05-16,81
77,2016-05-17,212
78,2016-05-18,98
79,2016-05-19,240
80,2016-05-20,127
81,2016-05-21,88
82,2016-05-22,28
83,2016-05-23,130
84,2016-05-24,82
85,2016-05-25,154
86,2016-05-26,113
87,2016-05-27,196
88,2016-05-28,44
89,2016-05-29,44
90,2016-05-30,38
91,2016-05-31,110
92,2016-06-01,208
93,2016-06-02,107
94,2016-06-03,172
95,2016-06-04,54
96,2016-06-05,54
97,2016-06-06,89
98,2016-06-07,204
99,2016-06-08,97
100,2016-06-09,282
101,2016-06-10,118
102,2016-06-11,112
103,2016-06-12,31
104,2016-06-13,142
105,2016-06-14,105
106,2016-06-15,162
107,2016-06-16,117
108,2016-06-17,196
109,2016-06-18,44
110,2016-06-19,72
111,2016-06-20,87
112,2016-06-21,208
113,2016-06-22,72
114,2016-06-23,228
115,2016-06-24,121
116,2016-06-25,124
117,2016-06-26,34
118,2016-06-27,124
119,2016-06-28,64
120,2016-06-29,212
121,2016-06-30,98
122,2016-07-01,206
123,2016-07-02,61
124,2016-07-03,64
125,2016-07-04,66
126,2016-07-05,134
127,2016-07-06,99
128,2016-07-07,178
129,2016-07-08,125
130,2016-07-09,94
131,2016-07-10,41
132,2016-07-11,160
133,2016-07-12,88
134,2016-07-13,146
135,2016-07-14,119
136,2016-07-15,288
137,2016-07-16,85
138,2016-07-17,72
139,2016-07-18,115
140,2016-07-19,244
141,2016-07-20,140
142,2016-07-21,336
143,2016-07-22,165
144,2016-07-23,174
145,2016-07-24,44
146,2016-07-25,230
147,2016-07-26,108
148,2016-07-27,284
149,2016-07-28,139
150,2016-07-29,314
151,2016-07-30,79
152,2016-07-31,56
153,2016-08-01,101
0,2020-03-01,109
1,2020-03-02,203
2,2020-03-03,484
3,2020-03-04,238
