publication_date,keywords_count
2008-03-01,1
2008-03-02,1
2008-03-03,2
2008-03-05,4
2008-03-06,1
2008-03-07,2
2008-03-09,8
2008-03-10,2
2008-03-11,4
2008-03-12,6
2008-03-13,2
2008-03-15,2
2008-03-16,4
2008-03-17,2
2008-03-18,2
2008-03-19,10
2008-03-20,4
2008-03-21,2
2008-03-22,2
2008-03-23,4
2008-03-24,1
2008-03-25,2
2008-03-27,2
2008-03-28,2
2008-03-29,2
2008-03-30,3
2008-03-31,2
2008-04-01,4
2008-04-04,4
2008-04-06,5
2008-04-13,2
2008-04-14,3
2008-04-16,1
2008-04-17,2
2008-04-18,2
2008-04-20,3
2008-04-21,2
2008-04-22,2
2008-04-24,3
2008-04-25,2
2008-04-26,3
2008-04-27,6
2008-04-28,2
2008-04-29,6
2008-04-30,3
2008-05-01,4
2008-05-03,2
2008-05-04,3
2008-05-06,3
2008-05-10,4
2008-05-11,6
2008-05-13,8
2008-05-14,1
2008-05-15,2
2008-05-16,1
2008-05-17,4
2008-05-18,4
2008-05-22,2
2008-05-23,2
2008-05-25,10
2008-05-27,4
2008-05-29,4
2008-05-30,1
2008-06-01,2
2008-06-02,1
2008-06-03,2
2008-06-05,4
2008-06-06,1
2008-06-07,2
2008-06-08,2
2008-06-09,2
2008-06-11,2
2008-06-12,1
2008-06-13,2
2008-06-15,2
2008-06-16,2
2008-06-17,2
2008-06-18,1
2008-06-19,2
2008-06-20,3
2008-06-21,2
2008-06-22,1
2008-06-23,4
2008-06-24,1
2008-06-27,4
2008-06-28,1
2008-06-30,1
2008-07-01,6
2008-07-05,2
2008-07-06,2
2008-07-07,2
2008-07-08,1
2008-07-10,2
2008-07-11,2
2008-07-12,1
2008-07-13,2
2008-07-14,1
2008-07-15,2
2008-07-16,2
2008-07-17,2
2008-07-18,1
2008-07-19,2
2008-07-20,2
2008-07-21,2
2008-07-23,2
2008-07-25,2
2008-07-27,10
2008-07-28,1
2008-07-29,4
2008-07-30,1
2008-08-01,2
