publication_date,keywords_count
2016-03-01,1
2016-03-02,13
2016-03-03,20
2016-03-04,7
2016-03-05,8
2016-03-06,3
2016-03-07,14
2016-03-08,6
2016-03-09,10
2016-03-10,8
2016-03-11,6
2016-03-12,8
2016-03-13,22
2016-03-14,7
2016-03-15,12
2016-03-16,9
2016-03-17,10
2016-03-18,5
2016-03-19,10
2016-03-20,3
2016-03-21,12
2016-03-22,3
2016-03-23,10
2016-03-24,6
2016-03-25,14
2016-03-26,2
2016-03-27,4
2016-03-28,4
2016-03-29,8
2016-03-30,6
2016-03-31,12
2016-04-01,10
2016-04-02,5
2016-04-04,10
2016-04-05,10
2016-04-06,7
2016-04-07,6
2016-04-08,9
2016-04-09,4
2016-04-10,2
2016-04-11,14
2016-04-12,6
2016-04-13,24
2016-04-14,11
2016-04-15,14
2016-04-16,2
2016-04-17,6
2016-04-18,4
2016-04-19,14
2016-04-20,9
2016-04-21,10
2016-04-22,8
2016-04-23,18
2016-04-24,1
2016-04-25,8
2016-04-26,7
2016-04-27,14
2016-04-28,3
2016-04-29,24
2016-04-30,5
2016-05-01,4
2016-05-02,11
2016-05-03,6
2016-05-04,3
2016-05-05,12
2016-05-06,10
2016-05-07,8
2016-05-08,5
2016-05-09,12
2016-05-10,6
2016-05-11,12
2016-05-12,5
2016-05-13,6
2016-05-14,4
2016-05-16,10
2016-05-17,10
2016-05-18,8
2016-05-19,10
2016-05-20,11
2016-05-21,2
2016-05-22,1
2016-05-23,12
2016-05-24,4
2016-05-25,10
2016-05-26,7
2016-05-27,18
2016-05-28,5
2016-05-29,2
2016-05-30,2
2016-05-31,10
2016-06-01,4
2016-06-02,3
2016-06-03,10
2016-06-04,7
2016-06-06,10
2016-06-07,14
2016-06-08,11
2016-06-09,28
2016-06-10,4
2016-06-11,8
2016-06-13,2
2016-06-14,3
2016-06-15,16
2016-06-16,8
2016-06-17,24
2016-06-18,2
2016-06-19,18
2016-06-20,5
2016-06-21,10
2016-06-22,4
2016-06-23,20
2016-06-24,10
2016-06-25,4
2016-06-26,5
2016-06-27,20
2016-06-29,4
2016-06-30,6
2016-07-01,10
2016-07-02,2
2016-07-03,2
2016-07-04,4
2016-07-05,10
2016-07-06,10
2016-07-07,24
2016-07-08,35
2016-07-09,46
2016-07-10,13
2016-07-11,50
2016-07-12,18
2016-07-13,28
2016-07-14,19
2016-07-15,22
2016-07-16,7
2016-07-17,16
2016-07-18,15
2016-07-19,34
2016-07-20,15
2016-07-21,32
2016-07-22,17
2016-07-23,16
2016-07-24,3
2016-07-25,16
2016-07-26,8
2016-07-27,8
2016-07-28,1
2016-07-29,16
2016-07-30,4
2016-07-31,2
2016-08-01,8
