,publication_date,keywords_count
58,2016-04-29,24
59,2016-04-30,5
60,2016-05-01,4
61,2016-05-02,11
62,2016-05-03,6
63,2016-05-04,3
64,2016-05-05,12
65,2016-05-06,10
66,2016-05-07,8
67,2016-05-08,5
68,2016-05-09,12
69,2016-05-10,6
70,2016-05-11,12
71,2016-05-12,5
72,2016-05-13,6
73,2016-05-14,4
74,2016-05-16,10
75,2016-05-17,10
76,2016-05-18,8
77,2016-05-19,10
78,2016-05-20,11
79,2016-05-21,2
80,2016-05-22,1
81,2016-05-23,12
82,2016-05-24,4
83,2016-05-25,10
84,2016-05-26,7
85,2016-05-27,18
86,2016-05-28,5
87,2016-05-29,2
88,2016-05-30,2
89,2016-05-31,10
90,2016-06-01,4
91,2016-06-02,3
92,2016-06-03,10
93,2016-06-04,7
94,2016-06-06,10
95,2016-06-07,14
96,2016-06-08,11
97,2016-06-09,28
98,2016-06-10,4
99,2016-06-11,8
100,2016-06-13,2
101,2016-06-14,3
102,2016-06-15,16
103,2016-06-16,8
104,2016-06-17,24
105,2016-06-18,2
106,2016-06-19,18
107,2016-06-20,5
108,2016-06-21,10
109,2016-06-22,4
110,2016-06-23,20
111,2016-06-24,10
112,2016-06-25,4
113,2016-06-26,5
114,2016-06-27,20
115,2016-06-29,4
116,2016-06-30,6
117,2016-07-01,10
118,2016-07-02,2
119,2016-07-03,2
120,2016-07-04,4
121,2016-07-05,10
122,2016-07-06,10
123,2016-07-07,24
124,2016-07-08,35
125,2016-07-09,46
126,2016-07-10,13
127,2016-07-11,50
128,2016-07-12,18
129,2016-07-13,28
130,2016-07-14,19
131,2016-07-15,22
132,2016-07-16,7
133,2016-07-17,16
134,2016-07-18,15
135,2016-07-19,34
136,2016-07-20,15
137,2016-07-21,32
138,2016-07-22,17
139,2016-07-23,16
140,2016-07-24,3
141,2016-07-25,16
142,2016-07-26,8
143,2016-07-27,8
144,2016-07-28,1
145,2016-07-29,16
146,2016-07-30,4
147,2016-07-31,2
148,2016-08-01,8
0,2020-03-01,24
1,2020-03-02,40
2,2020-03-03,92
3,2020-03-04,49
4,2020-03-05,84
5,2020-03-06,37
6,2020-03-07,44
7,2020-03-08,30
8,2020-03-09,105
9,2020-03-10,67
10,2020-03-11,138
11,2020-03-12,110
12,2020-03-13,194
13,2020-03-14,77
14,2020-03-15,111
15,2020-03-16,90
16,2020-03-17,270
17,2020-03-18,147
18,2020-03-19,242
19,2020-03-20,112
20,2020-03-21,129
21,2020-03-22,58
22,2020-03-23,193
23,2020-03-24,116
24,2020-03-25,226
25,2020-03-26,153
26,2020-03-27,247
27,2020-03-28,59
28,2020-03-29,86
29,2020-03-30,100
30,2020-03-31,222
31,2020-04-01,175
32,2020-04-02,123
33,2020-04-03,254
34,2020-04-04,53
35,2020-04-05,114
36,2020-04-06,93
37,2020-04-07,214
38,2020-04-08,110
39,2020-04-09,275
40,2020-04-10,110
41,2020-04-11,108
42,2020-04-12,50
43,2020-04-13,209
44,2020-04-14,125
45,2020-04-15,210
46,2020-04-16,124
47,2020-04-17,231
48,2020-04-18,59
49,2020-04-19,93
50,2020-04-20,87
51,2020-04-21,230
52,2020-04-22,118
53,2020-04-23,254
54,2020-04-24,106
55,2020-04-25,103
56,2020-04-26,43
57,2020-04-27,147
58,2020-04-28,108
59,2020-04-29,208
60,2020-04-30,86
61,2020-05-01,117
62,2020-05-02,36
63,2020-05-03,99
64,2020-05-04,73
65,2020-05-05,169
66,2020-05-06,88
67,2020-05-07,229
68,2020-05-08,100
69,2020-05-09,74
70,2020-05-10,49
71,2020-05-11,154
72,2020-05-12,85
73,2020-05-13,172
74,2020-05-14,90
75,2020-05-15,192
76,2020-05-16,34
77,2020-05-17,61
78,2020-05-18,82
79,2020-05-19,160
80,2020-05-20,93
81,2020-05-21,163
82,2020-05-22,92
83,2020-05-23,98
84,2020-05-24,37
85,2020-05-25,109
86,2020-05-26,67
87,2020-05-27,186
88,2020-05-28,75
89,2020-05-29,247
90,2020-05-30,64
91,2020-05-31,206
92,2020-06-01,270
93,2020-06-02,199
94,2020-06-03,386
95,2020-06-04,202
96,2020-06-05,342
97,2020-06-06,93
98,2020-06-07,198
99,2020-06-08,103
100,2020-06-09,243
101,2020-06-10,188
102,2020-06-11,316
103,2020-06-12,151
104,2020-06-13,185
105,2020-06-14,49
106,2020-06-15,201
107,2020-06-16,150
108,2020-06-17,268
109,2020-06-18,126
110,2020-06-19,290
111,2020-06-20,62
112,2020-06-21,114
113,2020-06-22,79
114,2020-06-23,256
115,2020-06-24,106
116,2020-06-25,198
117,2020-06-26,98
118,2020-06-27,104
119,2020-06-28,46
120,2020-06-29,205
121,2020-06-30,78
122,2020-07-01,97
123,2020-07-02,80
124,2020-07-03,144
125,2020-07-04,37
126,2020-07-05,66
127,2020-07-06,73
128,2020-07-07,148
129,2020-07-08,86
130,2020-07-09,150
131,2020-07-10,95
132,2020-07-11,72
133,2020-07-12,32
134,2020-07-13,134
135,2020-07-14,74
136,2020-07-15,172
137,2020-07-16,86
138,2020-07-17,174
139,2020-07-18,41
140,2020-07-19,78
141,2020-07-20,69
142,2020-07-21,172
143,2020-07-22,72
144,2020-07-23,150
145,2020-07-24,68
146,2020-07-25,104
147,2020-07-26,25
148,2020-07-27,120
149,2020-07-28,67
150,2020-07-29,178
151,2020-07-30,84
152,2020-07-31,154
153,2020-08-01,4
