publication_date,keywords_count
2008-03-01,61
2008-03-02,147
2008-03-03,88
2008-03-04,70
2008-03-05,160
2008-03-06,70
2008-03-07,144
2008-03-08,46
2008-03-09,232
2008-03-10,44
2008-03-11,100
2008-03-12,59
2008-03-13,92
2008-03-14,43
2008-03-15,108
2008-03-16,97
2008-03-17,90
2008-03-18,63
2008-03-19,120
2008-03-20,55
2008-03-21,126
2008-03-22,38
2008-03-23,196
2008-03-24,37
2008-03-25,114
2008-03-26,60
2008-03-27,100
2008-03-28,50
2008-03-29,74
2008-03-30,93
2008-03-31,76
2008-04-01,94
2008-04-02,44
2008-04-03,112
2008-04-04,50
2008-04-05,88
2008-04-06,121
2008-04-07,78
2008-04-08,46
2008-04-09,80
2008-04-10,45
2008-04-11,102
2008-04-12,52
2008-04-13,202
2008-04-14,52
2008-04-15,116
2008-04-16,63
2008-04-17,116
2008-04-18,56
2008-04-19,82
2008-04-20,132
2008-04-21,122
2008-04-22,65
2008-04-23,124
2008-04-24,72
2008-04-25,86
2008-04-26,48
2008-04-27,240
2008-04-28,44
2008-04-29,90
2008-04-30,58
2008-05-01,162
2008-05-02,75
2008-05-03,112
2008-05-04,117
2008-05-05,104
2008-05-06,65
2008-05-07,134
2008-05-08,61
2008-05-09,88
2008-05-10,55
2008-05-11,276
2008-05-12,45
2008-05-13,102
2008-05-14,60
2008-05-15,96
2008-05-16,57
2008-05-17,124
2008-05-18,115
2008-05-19,88
2008-05-20,50
2008-05-21,120
2008-05-22,57
2008-05-23,102
2008-05-24,35
2008-05-25,214
2008-05-26,41
2008-05-27,120
2008-05-28,56
2008-05-29,114
2008-05-30,54
2008-05-31,90
2008-06-01,276
2008-06-02,74
2008-06-03,120
2008-06-04,56
2008-06-05,136
2008-06-06,57
2008-06-07,112
2008-06-08,124
2008-06-09,100
2008-06-10,35
2008-06-11,106
2008-06-12,54
2008-06-13,94
2008-06-14,40
2008-06-15,222
2008-06-16,40
2008-06-17,102
2008-06-18,43
2008-06-19,90
2008-06-20,47
2008-06-21,104
2008-06-22,108
2008-06-23,64
2008-06-24,44
2008-06-25,104
2008-06-26,48
2008-06-27,92
2008-06-28,53
2008-06-29,174
2008-06-30,36
2008-07-01,114
2008-07-02,54
2008-07-03,76
2008-07-04,28
2008-07-05,72
2008-07-06,98
2008-07-07,128
2008-07-08,50
2008-07-09,80
2008-07-10,41
2008-07-11,82
2008-07-12,42
2008-07-13,208
2008-07-14,47
2008-07-15,62
2008-07-16,51
2008-07-17,82
2008-07-18,39
2008-07-19,100
2008-07-20,95
2008-07-21,88
2008-07-22,41
2008-07-23,108
2008-07-24,40
2008-07-25,80
2008-07-26,57
2008-07-27,200
2008-07-28,47
2008-07-29,110
2008-07-30,36
2008-07-31,92
2008-08-01,46
