publication_date,keywords_count
2012-03-01,530
2012-03-02,658
2012-03-03,804
2012-03-04,213
2012-03-05,1090
2012-03-06,509
2012-03-07,1144
2012-03-08,604
2012-03-09,1306
2012-03-10,455
2012-03-11,402
2012-03-12,567
2012-03-13,1074
2012-03-14,624
2012-03-15,1142
2012-03-16,742
2012-03-17,826
2012-03-18,277
2012-03-19,944
2012-03-20,549
2012-03-21,1188
2012-03-22,654
2012-03-23,1328
2012-03-24,443
2012-03-25,490
2012-03-26,535
2012-03-27,960
2012-03-28,545
2012-03-29,1184
2012-03-30,602
2012-03-31,824
2012-04-01,452
2012-04-02,470
2012-04-03,1118
2012-04-04,657
2012-04-05,1268
2012-04-06,620
2012-04-07,890
2012-04-08,218
2012-04-09,914
2012-04-10,462
2012-04-11,992
2012-04-12,574
2012-04-13,1322
2012-04-14,390
2012-04-15,480
2012-04-16,507
2012-04-17,950
2012-04-18,576
2012-04-19,1216
2012-04-20,613
2012-04-21,724
2012-04-22,208
2012-04-23,1048
2012-04-24,516
2012-04-25,1138
2012-04-26,637
2012-04-27,1444
2012-04-28,428
2012-04-29,422
2012-04-30,539
2012-05-01,1204
2012-05-02,655
2012-05-03,1256
2012-05-04,709
2012-05-05,886
2012-05-06,249
2012-05-07,1002
2012-05-08,495
2012-05-09,1166
2012-05-10,593
2012-05-11,1220
2012-05-12,364
2012-05-13,366
2012-05-14,496
2012-05-15,1004
2012-05-16,573
2012-05-17,1288
2012-05-18,552
2012-05-19,854
2012-05-20,236
2012-05-21,1124
2012-05-22,465
2012-05-23,1194
2012-05-24,578
2012-05-25,1216
2012-05-26,434
2012-05-27,448
2012-05-28,344
2012-05-29,880
2012-05-30,653
2012-05-31,1154
2012-06-01,1398
2012-06-02,406
2012-06-03,516
2012-06-04,584
2012-06-05,1074
2012-06-06,567
2012-06-07,1228
2012-06-08,629
2012-06-09,922
2012-06-10,278
2012-06-11,1054
2012-06-12,576
2012-06-13,1150
2012-06-14,593
2012-06-15,1158
2012-06-16,412
2012-06-17,376
2012-06-18,559
2012-06-19,984
2012-06-20,547
2012-06-21,1200
2012-06-22,672
2012-06-23,858
2012-06-24,253
2012-06-25,906
2012-06-26,490
2012-06-27,1210
2012-06-28,670
2012-06-29,1348
2012-06-30,407
2012-07-01,500
2012-07-02,532
2012-07-03,982
2012-07-04,389
2012-07-05,994
2012-07-06,561
2012-07-07,768
2012-07-08,203
2012-07-09,914
2012-07-10,447
2012-07-11,946
2012-07-12,536
2012-07-13,1144
2012-07-14,345
2012-07-15,410
2012-07-16,464
2012-07-17,1010
2012-07-18,547
2012-07-19,1334
2012-07-20,529
2012-07-21,732
2012-07-22,219
2012-07-23,1032
2012-07-24,544
2012-07-25,1074
2012-07-26,521
2012-07-27,1038
2012-07-28,355
2012-07-29,408
2012-07-30,426
2012-07-31,988
2012-08-01,504
