publication_date,keywords_count
2016-03-01,416
2016-03-02,434
2016-03-03,934
2016-03-04,523
2016-03-05,396
2016-03-06,169
2016-03-07,876
2016-03-08,350
2016-03-09,836
2016-03-10,440
2016-03-11,952
2016-03-12,221
2016-03-13,286
2016-03-14,376
2016-03-15,920
2016-03-16,471
2016-03-17,866
2016-03-18,451
2016-03-19,426
2016-03-20,153
2016-03-21,786
2016-03-22,409
2016-03-23,788
2016-03-24,425
2016-03-25,782
2016-03-26,186
2016-03-27,256
2016-03-28,308
2016-03-29,670
2016-03-30,414
2016-03-31,796
2016-04-01,896
2016-04-02,179
2016-04-03,302
2016-04-04,395
2016-04-05,758
2016-04-06,447
2016-04-07,884
2016-04-08,430
2016-04-09,514
2016-04-10,162
2016-04-11,672
2016-04-12,306
2016-04-13,806
2016-04-14,503
2016-04-15,868
2016-04-16,213
2016-04-17,328
2016-04-18,387
2016-04-19,664
2016-04-20,424
2016-04-21,900
2016-04-22,480
2016-04-23,416
2016-04-24,165
2016-04-25,684
2016-04-26,355
2016-04-27,836
2016-04-28,465
2016-04-29,830
2016-04-30,225
2016-05-01,312
2016-05-02,349
2016-05-03,808
2016-05-04,387
2016-05-05,1004
2016-05-06,430
2016-05-07,448
2016-05-08,150
2016-05-09,726
2016-05-10,368
2016-05-11,858
2016-05-12,486
2016-05-13,834
2016-05-14,215
2016-05-15,356
2016-05-16,324
2016-05-17,664
2016-05-18,427
2016-05-19,886
2016-05-20,476
2016-05-21,402
2016-05-22,150
2016-05-23,704
2016-05-24,345
2016-05-25,870
2016-05-26,403
2016-05-27,850
2016-05-28,170
2016-05-29,406
2016-05-30,230
2016-05-31,626
2016-06-01,926
2016-06-02,395
2016-06-03,780
2016-06-04,228
2016-06-05,264
2016-06-06,322
2016-06-07,760
2016-06-08,406
2016-06-09,854
2016-06-10,436
2016-06-11,520
2016-06-12,206
2016-06-13,684
2016-06-14,373
2016-06-15,778
2016-06-16,414
2016-06-17,902
2016-06-18,256
2016-06-19,442
2016-06-20,368
2016-06-21,680
2016-06-22,428
2016-06-23,928
2016-06-24,527
2016-06-25,572
2016-06-26,201
2016-06-27,750
2016-06-28,343
2016-06-29,820
2016-06-30,428
2016-07-01,832
2016-07-02,205
2016-07-03,348
2016-07-04,255
2016-07-05,632
2016-07-06,419
2016-07-07,796
2016-07-08,439
2016-07-09,408
2016-07-10,187
2016-07-11,586
2016-07-12,336
2016-07-13,722
2016-07-14,420
2016-07-15,918
2016-07-16,245
2016-07-17,358
2016-07-18,342
2016-07-19,676
2016-07-20,376
2016-07-21,912
2016-07-22,380
2016-07-23,414
2016-07-24,179
2016-07-25,748
2016-07-26,326
2016-07-27,872
2016-07-28,353
2016-07-29,870
2016-07-30,207
2016-07-31,306
2016-08-01,308
