,publication_date,keyword_1,keyword_2,keyword_3
22,2020-06-02T09:59:40+0000,George Floyd Protests (2020),Black Lives Matter Movement,Black People
23,2020-06-01T19:39:53+0000,your-feed-science,Endangered and Extinct Species,Conservation of Resources
24,2020-06-02T09:00:37+0000,George Floyd Protests (2020),Black Lives Matter Movement,"Police Brutality, Misconduct and Shootings"
25,2020-06-01T23:01:25+0000,Black People,Labor and Jobs,Race and Ethnicity
26,2020-06-02T23:44:54+0000,George Floyd Protests (2020),Attacks on Police,"Police Brutality, Misconduct and Shootings"
27,2020-06-03T08:55:01+0000,Coronavirus Reopenings,Emergency Medical Treatment,Hospitals
28,2020-06-01T19:10:01+0000,"Trump, Donald J",United States Politics and Government,Coronavirus (2019-nCoV)
29,2020-06-02T09:59:40+0000,George Floyd Protests (2020),Black Lives Matter Movement,Black People
30,2020-06-01T02:31:04+0000,"Demonstrations, Protests and Riots",Black Lives Matter Movement,"Police Brutality, Misconduct and Shootings"
31,2020-06-01T09:00:32+0000,Cooking and Cookbooks,Street Vendors (Non-Food),Photography
32,2020-06-01T07:00:18+0000,Football,Quarantine (Life and Culture),Buffalo Bills
33,2020-06-01T20:33:08+0000,Shopping and Retail,George Floyd Protests (2020),Target Corporation
34,2020-06-01T19:00:10+0000,Infrastructure (Public Works),States (US),United States Economy
35,2020-06-01T23:34:00+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Looting (Crime)
36,2020-06-01T22:02:17+0000,George Floyd Protests (2020),Black People,"Police Department (Minneapolis, Minn)"
37,2020-06-03T22:59:49+0000,"Scholten, J D","King, Steven A","Feenstra, Randy"
38,2020-06-03T19:20:08+0000,"McCann, Madeleine",Sex Crimes,Germany
39,2020-06-01T09:24:04+0000,New York City,"de Blasio, Bill",Black People
40,2020-06-03T13:00:13+0000,Art,Photography,Quarantines
41,2020-06-02T12:00:07+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
42,2020-06-02T03:35:37+0000,George Floyd Protests (2020),"Trump, Donald J","Carlson, Tucker"
43,2020-06-01T21:16:15+0000,Academic and Scientific Journals,Science and Technology,Coronavirus (2019-nCoV)
44,2020-06-02T15:15:54+0000,George Floyd Protests (2020),United States Defense and Military Forces,Defense Department
45,2020-06-03T09:00:15+0000,Black People,George Floyd Protests (2020),Presidential Election of 2020
46,2020-06-02T18:23:02+0000,Restaurants,George Floyd Protests (2020),"Demonstrations, Protests and Riots"
47,2020-06-03T20:30:04+0000,"Obama, Barack",George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings"
48,2020-06-02T19:06:51+0000,Theater,Books and Literature,Belarus Free Theater
49,2020-06-03T00:34:01+0000,Bible,United States Politics and Government,"Demonstrations, Protests and Riots"
50,2020-06-01T09:24:04+0000,New York City,"de Blasio, Bill",Black People
51,2020-06-03T19:20:08+0000,"McCann, Madeleine",Sex Crimes,Germany
52,2020-06-03T22:59:49+0000,"Scholten, J D","King, Steven A","Feenstra, Randy"
53,2020-06-02T17:06:25+0000,Social Media,Pop and Rock Music,Rap and Hip-Hop
54,2020-06-02T15:50:08+0000,"Unseld, Westley S",Deaths (Obituaries),Basketball
55,2020-06-03T02:00:08+0000,Friendship,Psychology and Psychologists,Quarantine (Life and Culture)
56,2020-06-02T23:44:54+0000,George Floyd Protests (2020),Attacks on Police,"Police Brutality, Misconduct and Shootings"
57,2020-06-01T21:23:32+0000,George Floyd Protests (2020),Black Lives Matter Movement,Social Media
58,2020-06-03T09:00:20+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots","Flags, Emblems and Insignia"
59,2020-06-03T15:34:10+0000,"Police Brutality, Misconduct and Shootings",Police,George Floyd Protests (2020)
60,2020-06-03T15:14:03+0000,Travel and Vacations,Renting and Leasing (Real Estate),Politics and Government
61,2020-06-02T18:29:23+0000,"Trump, Donald J",United States International Relations,United States Politics and Government
62,2020-06-02T17:06:25+0000,Social Media,Pop and Rock Music,Rap and Hip-Hop
63,2020-06-02T15:50:08+0000,"Unseld, Westley S",Deaths (Obituaries),Basketball
64,2020-06-03T02:00:08+0000,Friendship,Psychology and Psychologists,Quarantine (Life and Culture)
65,2020-06-02T15:10:38+0000,United States Defense and Military Forces,Law and Legislation,"Demonstrations, Protests and Riots"
66,2020-06-01T09:00:32+0000,Books and Literature,Book Trade and Publishing,Shutdowns (Institutional)
67,2020-06-02T18:25:01+0000,Real Estate and Housing (Residential),Real Estate (Commercial),Queens (NYC)
68,2020-06-02T23:44:54+0000,George Floyd Protests (2020),Attacks on Police,"Police Brutality, Misconduct and Shootings"
69,2020-06-02T22:12:03+0000,E-Cigarettes,Smoking and Tobacco,House of Representatives
70,2020-06-01T16:00:14+0000,Art,Black People,"Demonstrations, Protests and Riots"
71,2020-06-03T08:55:01+0000,Coronavirus Reopenings,Emergency Medical Treatment,Hospitals
72,2020-06-03T09:00:23+0000,Swimming Pools,Shortages,Coronavirus (2019-nCoV)
73,2020-06-01T14:55:37+0000,George Floyd Protests (2020),Gun Control,Black People
74,2020-06-02T23:11:34+0000,Curfews,Transit Systems,Coronavirus (2019-nCoV)
75,2020-06-01T19:23:27+0000,"Revzen, Joel (1945-2020)",Deaths (Obituaries),Coronavirus (2019-nCoV)
76,2020-06-01T09:00:30+0000,Minneapolis (Minn),Race and Ethnicity,"Police Brutality, Misconduct and Shootings"
77,2020-06-02T20:50:43+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings","Demonstrations, Protests and Riots"
78,2020-06-02T23:28:33+0000,Absentee Voting,Political Advertising,Presidential Election of 2020
79,2020-06-01T23:51:51+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings",Black Lives Matter Movement
80,2020-06-01T23:09:07+0000,George Floyd Protests (2020),Looting (Crime),Police Department (NYC)
81,2020-06-03T15:34:10+0000,"Police Brutality, Misconduct and Shootings",Police,George Floyd Protests (2020)
82,2020-06-03T00:13:31+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings",Black Lives Matter Movement
83,2020-06-02T15:16:30+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Black Lives Matter Movement
84,2020-06-03T13:54:37+0000,Coronavirus (2019-nCoV),Coronavirus Reopenings,Stocks and Bonds
85,2020-06-02T03:32:27+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",United States Politics and Government
86,2020-06-03T13:00:13+0000,Art,Photography,Quarantines
87,2020-06-02T06:40:52+0000,"Reyes, Ruben Varias",Deaths (Obituaries),Coronavirus (2019-nCoV)
88,2020-06-02T17:06:25+0000,Social Media,Pop and Rock Music,Rap and Hip-Hop
89,2020-06-02T15:50:08+0000,"Unseld, Westley S",Deaths (Obituaries),Basketball
90,2020-06-03T02:00:08+0000,Friendship,Psychology and Psychologists,Quarantine (Life and Culture)
91,2020-06-01T00:28:09+0000,Churches (Buildings),Coronavirus (2019-nCoV),"Demonstrations, Protests and Riots"
92,2020-06-03T12:35:24+0000,Black People,Race and Ethnicity,Children and Childhood
93,2020-06-02T22:09:40+0000,Coronavirus (2019-nCoV),Meditation,Buddhism
94,2020-06-03T19:20:08+0000,"McCann, Madeleine",Sex Crimes,Germany
95,2020-06-02T22:25:16+0000,SAT (College Admission Test),Coronavirus (2019-nCoV),College Board
96,2020-06-03T13:25:55+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Black Lives Matter Movement
97,2020-06-01T18:47:52+0000,Global Warming,Environment,Greenhouse Gas Emissions
98,2020-06-03T09:00:15+0000,Black People,George Floyd Protests (2020),Presidential Election of 2020
99,2020-06-01T00:08:23+0000,"Floyd, George (d 2020)",George Floyd Protests (2020),Minneapolis (Minn)
100,2020-06-01T21:16:15+0000,Academic and Scientific Journals,Science and Technology,Coronavirus (2019-nCoV)
101,2020-06-01T17:37:00+0000,"Demonstrations, Protests and Riots",Bail,Philanthropy
102,2020-06-01T15:25:46+0000,George Floyd Protests (2020),Philanthropy,Black Lives Matter Movement
103,2020-06-03T07:00:25+0000,Coronavirus (2019-nCoV),Centers for Disease Control and Prevention,"Redfield, Robert R"
104,2020-06-02T06:30:16+0000,your-feed-science,SARS (Severe Acute Respiratory Syndrome),Coronavirus (2019-nCoV)
105,2020-06-01T21:43:41+0000,George Floyd Protests (2020),Rumors and Misinformation,Social Media
106,2020-06-02T04:05:28+0000,New York Knicks,"Dolan, James L",George Floyd Protests (2020)
107,2020-06-02T14:27:25+0000,George Floyd Protests (2020),Black People,Black Lives Matter Movement
108,2020-06-02T19:03:18+0000,"Engel, Eliot L","Elections, House of Representatives",Democratic Party
109,2020-06-01T09:00:33+0000,Black People,Culture (Arts),Scandal (TV Program)
110,2020-06-02T19:36:50+0000,Primaries and Caucuses,Elections,Presidential Election of 2020
111,2020-06-03T09:00:29+0000,Colleges and Universities,Quarantines,E-Learning
112,2020-06-02T11:37:10+0000,Small Business,Spas,Coronavirus (2019-nCoV)
113,2020-06-01T23:04:32+0000,United States International Relations,United States Politics and Government,Group of Seven
114,2020-06-01T22:52:55+0000,Masks,Shortages,Workplace Hazards and Violations
115,2020-06-03T23:29:32+0000,Presidential Election of 2020,"Trump, Donald J","Biden, Joseph R Jr"
116,2020-06-01T11:47:36+0000,Politics and Government,United States International Relations,Communist Party of China
117,2020-06-01T08:37:14+0000,Economic Conditions and Trends,United States Economy,Stocks and Bonds
118,2020-06-03T11:17:51+0000,Women and Girls,Coronavirus (2019-nCoV),Parenting
119,2020-06-03T07:30:10+0000,Coronavirus (2019-nCoV),United States Politics and Government,Medicine and Health
120,2020-06-02T13:00:11+0000,Real Estate (Commercial),Coronavirus (2019-nCoV),Real Estate and Housing (Residential)
121,2020-06-01T18:32:46+0000,George Floyd Protests (2020),Black Lives Matter Movement,"Police Brutality, Misconduct and Shootings"
122,2020-06-01T09:00:22+0000,Campaign Finance,Criminal Justice,Public Defenders and Court-Appointed Lawyers (Criminal)
123,2020-06-03T07:00:10+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Tear Gas
124,2020-06-02T07:22:26+0000,"Chauvin, Derek (1976- )","Colbert, Stephen","Fallon, Jimmy"
125,2020-06-01T19:42:47+0000,George Floyd Protests (2020),Black People,"Police Brutality, Misconduct and Shootings"
126,2020-06-01T17:47:34+0000,Rap and Hip-Hop,Pop and Rock Music,Wunna (Album)
127,2020-06-01T09:00:11+0000,"Barr, William P",Justice Department,United States Politics and Government
128,2020-06-01T17:42:24+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots","Police Brutality, Misconduct and Shootings"
129,2020-06-02T09:00:27+0000,Real Estate and Housing (Residential),Home Repairs and Improvements,Restoration and Renovation
130,2020-06-03T17:31:40+0000,Cannes International Film Festival,Movies,Soul (Movie)
131,2020-06-03T16:38:16+0000,Deaths (Obituaries),Boxing,Coronavirus (2019-nCoV)
132,2020-06-03T19:08:04+0000,On the Record (Movie),Documentary Films and Programs,#MeToo Movement
133,2020-06-02T15:24:35+0000,"Trump, Donald J",Christians and Christianity,George Floyd Protests (2020)
134,2020-06-02T19:00:08+0000,Supreme Court (US),"Roberts, John G Jr",Women and Girls
135,2020-06-02T21:01:38+0000,Humanitarian Aid,Houthis,United Nations
136,2020-06-02T20:17:31+0000,Coronavirus (2019-nCoV),Research,Pasteur Institute
137,2020-06-02T14:00:18+0000,Philanthropy,Endowments,Culture (Arts)
138,2020-06-01T20:05:31+0000,"Kimura, Hana (1997-2020)",Cyberharassment,Social Media
139,2020-06-01T19:42:47+0000,George Floyd Protests (2020),Black People,"Police Brutality, Misconduct and Shootings"
140,2020-06-01T00:45:13+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots","Police Brutality, Misconduct and Shootings"
141,2020-06-02T11:00:20+0000,"Trump, Donald J",George Floyd Protests (2020),Black People
142,2020-06-02T20:36:16+0000,Text Messaging,Driver Distraction and Fatigue,Traffic Accidents and Safety
143,2020-06-02T20:17:31+0000,Coronavirus (2019-nCoV),Research,Pasteur Institute
144,2020-06-02T14:00:18+0000,Philanthropy,Endowments,Culture (Arts)
145,2020-06-02T11:00:20+0000,"Trump, Donald J",George Floyd Protests (2020),Black People
146,2020-06-01T00:45:13+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots","Police Brutality, Misconduct and Shootings"
147,2020-06-02T16:07:32+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Black Lives Matter Movement
148,2020-06-03T19:08:03+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Shopping and Retail
149,2020-06-03T09:00:01+0000,Surviving Autocracy (Book),"Gessen, Masha",Books and Literature
150,2020-06-02T06:30:13+0000,Space and Astronomy,Coronavirus (2019-nCoV),Extraterrestrial Life
151,2020-06-01T09:00:35+0000,Coronavirus (2019-nCoV),Coronavirus Reopenings,Quarantines
152,2020-06-02T20:36:16+0000,Text Messaging,Driver Distraction and Fatigue,Traffic Accidents and Safety
153,2020-06-02T15:11:53+0000,United States International Relations,United States Defense and Military Forces,"Duterte, Rodrigo"
154,2020-06-01T07:00:09+0000,Basketball,Coronavirus (2019-nCoV),"Upper East Side (Manhattan, NY)"
155,2020-06-02T22:12:52+0000,United States Politics and Government,"Coronavirus Aid, Relief, and Economic Security Act (2020)",United States Economy
156,2020-06-02T21:01:38+0000,Humanitarian Aid,Houthis,United Nations
157,2020-06-03T11:20:57+0000,Corporate Social Responsibility,George Floyd Protests (2020),Facebook Inc
158,2020-06-03T05:37:07+0000,Attacks on Police,"Police Brutality, Misconduct and Shootings","Crown Heights (Brooklyn, NY)"
159,2020-06-03T18:28:28+0000,Newspapers,Post and Courier,Workplace Hazards and Violations
160,2020-06-01T14:47:59+0000,Coronavirus (2019-nCoV),Deaths (Fatalities),New Jersey
161,2020-06-01T17:47:34+0000,Rap and Hip-Hop,Pop and Rock Music,Wunna (Album)
162,2020-06-01T19:42:47+0000,George Floyd Protests (2020),Black People,"Police Brutality, Misconduct and Shootings"
163,2020-06-03T01:09:12+0000,Sacramento Kings,"Napear, Grant (1959- )","Cousins, DeMarcus"
164,2020-06-02T23:23:41+0000,Curfews,George Floyd Protests (2020),"Demonstrations, Protests and Riots"
165,2020-06-03T07:00:10+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Tear Gas
166,2020-06-02T20:52:06+0000,Deutsche Bank AG,Banking and Financial Institutions,Regulation and Deregulation of Industry
167,2020-06-02T12:03:45+0000,China,"Trump, Donald J",United States International Relations
168,2020-06-02T07:00:14+0000,George Floyd Protests (2020),Middle East and North Africa Unrest (2010- ),"Demonstrations, Protests and Riots"
169,2020-06-01T20:05:31+0000,"Kimura, Hana (1997-2020)",Cyberharassment,Social Media
170,2020-06-01T16:19:13+0000,Rugby,Coronavirus Reopenings,Soccer
171,2020-06-02T14:45:23+0000,"Holmes, Sherlock (Fictional Character)",Books and Literature,Games
172,2020-06-02T09:00:08+0000,Books and Literature,Exciting Times (Book),"Dolan, Naoise"
173,2020-06-02T23:03:23+0000,Computers and the Internet,Data-Mining and Database Marketing,Suits and Litigation (Civil)
174,2020-06-01T09:00:06+0000,Quarantines,Coronavirus Reopenings,Coronavirus (2019-nCoV)
175,2020-06-03T19:21:25+0000,Basketball,Coronavirus Reopenings,Black People
176,2020-06-02T17:43:46+0000,Masks,Polls and Public Opinion,Coronavirus (2019-nCoV)
177,2020-06-03T09:00:12+0000,Soccer,Coronavirus Reopenings,German Bundesliga
178,2020-06-03T18:52:57+0000,George Floyd Protests (2020),Attacks on Police,"Police Brutality, Misconduct and Shootings"
179,2020-06-02T23:27:27+0000,Movies,"Curtis, Tony","Lemmon, Jack"
180,2020-06-03T16:57:47+0000,Philanthropy,Corporate Social Responsibility,Music
181,2020-06-03T16:38:16+0000,Deaths (Obituaries),Boxing,Coronavirus (2019-nCoV)
182,2020-06-01T09:00:11+0000,"Barr, William P",Justice Department,United States Politics and Government
183,2020-06-03T19:08:04+0000,On the Record (Movie),Documentary Films and Programs,#MeToo Movement
184,2020-06-03T21:11:28+0000,"Trump, Donald J",George Floyd Protests (2020),"Esper, Mark T"
185,2020-06-01T17:20:54+0000,George Floyd Protests (2020),United States Politics and Government,"Demonstrations, Protests and Riots"
186,2020-06-03T17:31:40+0000,Cannes International Film Festival,Movies,Soul (Movie)
187,2020-06-03T19:30:48+0000,Cooking and Cookbooks,Pasta,Quarantine (Life and Culture)
188,2020-06-01T17:42:24+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots","Police Brutality, Misconduct and Shootings"
189,2020-06-02T09:00:27+0000,Real Estate and Housing (Residential),Home Repairs and Improvements,Restoration and Renovation
190,2020-06-03T17:42:57+0000,United States Politics and Government,Russian Interference in 2016 US Elections and Ties to Trump Associates,Attorneys General
191,2020-06-03T00:40:30+0000,Instagram Inc,Black People,Social Media
192,2020-06-02T12:34:00+0000,George Floyd Protests (2020),Looting (Crime),"Midtown Area (Manhattan, NY)"
193,2020-06-03T21:29:59+0000,"Friedman, Bruce Jay",Deaths (Obituaries),Writing and Writers
194,2020-06-02T06:30:13+0000,Space and Astronomy,Coronavirus (2019-nCoV),Extraterrestrial Life
195,2020-06-03T09:13:50+0000,New York City,George Floyd Protests (2020),"de Blasio, Bill"
196,2020-06-01T09:00:35+0000,Coronavirus (2019-nCoV),Coronavirus Reopenings,Quarantines
197,2020-06-03T09:00:06+0000,Pregnancy and Childbirth,Women and Girls,Drugs (Pharmaceuticals)
198,2020-06-03T23:17:40+0000,your-feed-science,Genetics and Heredity,Coronavirus (2019-nCoV)
199,2020-06-02T22:55:48+0000,Police,"Police Brutality, Misconduct and Shootings","Demonstrations, Protests and Riots"
200,2020-06-02T17:47:28+0000,European Union,Corporate Taxes,International Trade and World Market
201,2020-06-03T22:59:45+0000,Monuments and Memorials (Structures),George Floyd Protests (2020),"Demonstrations, Protests and Riots"
202,2020-06-03T07:13:10+0000,India,Mumbai (India),Maharashtra (India)
203,2020-06-02T22:55:48+0000,Police,"Police Brutality, Misconduct and Shootings","Demonstrations, Protests and Riots"
204,2020-06-03T23:17:40+0000,your-feed-science,Genetics and Heredity,Coronavirus (2019-nCoV)
205,2020-06-03T09:00:06+0000,Pregnancy and Childbirth,Women and Girls,Drugs (Pharmaceuticals)
206,2020-06-02T14:00:13+0000,Opera,Metropolitan Opera,Coronavirus (2019-nCoV)
207,2020-06-01T03:47:50+0000,"Police Brutality, Misconduct and Shootings","Murders, Attempted Murders and Homicides",Black People
208,2020-06-02T07:00:12+0000,Absentee Voting,"Trump, Donald J",Republican Party
209,2020-06-03T19:31:11+0000,Music,Insects,Oceans and Seas
210,2020-06-02T07:00:12+0000,Absentee Voting,"Trump, Donald J",Republican Party
211,2020-06-03T18:13:59+0000,Baseball,Wages and Salaries,Major League Baseball
212,2020-06-03T09:00:16+0000,Real Estate and Housing (Residential),Gardens and Gardening,Quarantine (Life and Culture)
213,2020-06-02T09:00:16+0000,ADIDAS AG,Shopping and Retail,George Floyd Protests (2020)
214,2020-06-03T19:17:52+0000,Social Media,Corporate Social Responsibility,Computers and the Internet
215,2020-06-02T13:43:02+0000,George Floyd Protests (2020),"Biden, Joseph R Jr","Trump, Donald J"
216,2020-06-02T19:19:04+0000,"Trump, Donald J",Center for Democracy and Technology,Suits and Litigation (Civil)
217,2020-06-02T17:52:37+0000,George Floyd Protests (2020),Urban Areas,Income Inequality
218,2020-06-02T09:00:32+0000,Waste Materials and Disposal,Coronavirus (2019-nCoV),Recycling of Waste Materials
219,2020-06-03T14:49:26+0000,China,United States International Relations,Politics and Government
220,2020-06-03T09:00:30+0000,Classical Music,Cellos,Music
221,2020-06-03T09:00:03+0000,Citrus Fruits,Cooking and Cookbooks,Seafood
222,2020-06-02T16:17:08+0000,Cooking and Cookbooks,Restaurants,Delivery Services
223,2020-06-01T07:32:16+0000,Black Lives Matter Movement,"Demonstrations, Protests and Riots",Black People
224,2020-06-02T23:33:35+0000,"Trump, Donald J",George Floyd Protests (2020),United States Politics and Government
225,2020-06-03T00:20:39+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Coronavirus (2019-nCoV)
226,2020-06-03T13:50:27+0000,Golf,United States Golf Assn,Coronavirus Reopenings
227,2020-06-02T19:46:05+0000,Coronavirus (2019-nCoV),Vaccination and Immunization,Research
228,2020-06-03T12:53:06+0000,Marriages,Dating and Relationships,"Divorce, Separations and Annulments"
229,2020-06-03T13:50:27+0000,Golf,United States Golf Assn,Coronavirus Reopenings
230,2020-06-01T02:17:03+0000,Quarantine (Life and Culture),"Ruscha, Edward","Miller, Austin Scott (1961- )"
231,2020-06-01T08:12:19+0000,Coronavirus (2019-nCoV),Quarantine (Life and Culture),Coronavirus Reopenings
232,2020-06-01T16:31:18+0000,Social Media,Computers and the Internet,Facebook Inc
233,2020-06-01T16:23:01+0000,Books and Literature,Book Trade and Publishing,Libraries and Librarians
234,2020-06-02T21:50:45+0000,Political Prisoners,"White, Michael R","Zarif, Mohammad Javad"
235,2020-06-02T11:21:24+0000,Social Media,Coronavirus Reopenings,George Floyd Protests (2020)
236,2020-06-02T00:09:47+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings",Black Lives Matter Movement
237,2020-06-01T17:42:33+0000,Presidential Election of 2020,George Floyd Protests (2020),"Biden, Joseph R Jr"
238,2020-06-03T09:00:20+0000,George Floyd Protests (2020),Black Lives Matter Movement,"Police Brutality, Misconduct and Shootings"
239,2020-06-01T19:50:51+0000,Hong Kong Protests (2019),Tiananmen Square (Beijing),Xi Jinping
240,2020-06-01T17:31:54+0000,George Floyd Protests (2020),Facebook Inc,Twitter
241,2020-06-02T20:38:57+0000,"Dew, Robb Forman",Deaths (Obituaries),Writing and Writers
242,2020-06-03T14:00:10+0000,Writing and Writers,Theater,"Chesnutt, Charles W"
243,2020-06-03T12:44:10+0000,Documentary Films and Programs,Scripps National Spelling Bee,"Rega, Sam"
244,2020-06-02T19:31:01+0000,Love (Emotion),Modern Love (Times Column),Dating and Relationships
245,2020-06-02T21:50:45+0000,Political Prisoners,"White, Michael R","Zarif, Mohammad Javad"
246,2020-06-02T19:27:50+0000,Christo,Coronavirus (2019-nCoV),Doctors
247,2020-06-02T14:13:11+0000,Children and Childhood,Depression (Mental),Parenting
248,2020-06-01T23:07:29+0000,United States Economy,"Coronavirus Aid, Relief, and Economic Security Act (2020)",United States Politics and Government
249,2020-06-01T09:00:17+0000,Coronavirus (2019-nCoV),Quarantines,Unemployment
250,2020-06-02T11:21:24+0000,Social Media,Coronavirus Reopenings,George Floyd Protests (2020)
251,2020-06-01T17:42:33+0000,Presidential Election of 2020,George Floyd Protests (2020),"Biden, Joseph R Jr"
252,2020-06-01T17:00:49+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings","Demonstrations, Protests and Riots"
253,2020-06-02T09:00:10+0000,Theater,Books and Literature,English Language
254,2020-06-03T13:50:27+0000,Golf,United States Golf Assn,Coronavirus Reopenings
255,2020-06-02T09:00:15+0000,Middle East and Africa Migrant Crisis,Refugees and Displaced Persons,"Malek, Alia (1974- )"
256,2020-06-01T07:32:16+0000,Black Lives Matter Movement,"Demonstrations, Protests and Riots",Black People
257,2020-06-02T15:46:34+0000,United States Open (Tennis),Coronavirus (2019-nCoV),Coronavirus Reopenings
258,2020-06-02T19:31:01+0000,Love (Emotion),Modern Love (Times Column),Dating and Relationships
259,2020-06-03T16:18:21+0000,Global Warming,George Floyd Protests (2020),Black People
260,2020-06-01T17:31:54+0000,George Floyd Protests (2020),Facebook Inc,Twitter
261,2020-06-03T09:00:20+0000,George Floyd Protests (2020),Black Lives Matter Movement,"Police Brutality, Misconduct and Shootings"
262,2020-06-02T14:13:11+0000,Children and Childhood,Depression (Mental),Parenting
263,2020-06-01T19:50:51+0000,Hong Kong Protests (2019),Tiananmen Square (Beijing),Xi Jinping
264,2020-06-03T21:58:21+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Black Lives Matter Movement
265,2020-06-02T19:27:50+0000,Christo,Coronavirus (2019-nCoV),Doctors
266,2020-06-02T23:05:48+0000,Primaries and Caucuses,Absentee Voting,"Elections, House of Representatives"
267,2020-06-02T09:00:20+0000,Surveillance of Citizens by Government,Black People,Liberalism (US Politics)
268,2020-06-02T09:00:19+0000,Black People,"Police Brutality, Misconduct and Shootings",Mental Health and Disorders
269,2020-06-02T23:05:48+0000,Primaries and Caucuses,Absentee Voting,"Elections, House of Representatives"
270,2020-06-02T09:00:19+0000,George Floyd Protests (2020),"Trump, Donald J",Black Lives Matter Movement
271,2020-06-01T16:36:03+0000,Homosexuality and Bisexuality,Dating and Relationships,Research
272,2020-06-02T20:39:41+0000,"Dorfman, Elsa (1937- )",Deaths (Obituaries),Photography
273,2020-06-03T16:18:21+0000,Global Warming,George Floyd Protests (2020),Black People
274,2020-06-02T19:23:40+0000,"Scott, Patricia Reed",Deaths (Obituaries),Movies
275,2020-06-03T21:58:21+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Black Lives Matter Movement
276,2020-06-02T09:43:13+0000,New York City,George Floyd Protests (2020),"de Blasio, Bill"
277,2020-06-01T22:13:55+0000,Spices,Cookware,Alpha Ingredients Co
278,2020-06-01T22:15:10+0000,Philanthropy,Coffee,Seed Leaf LLC
279,2020-06-03T14:13:47+0000,"Rizzo, Frank L (1920-91)","Kenney, James F (1958- )",Philadelphia (Pa)
280,2020-06-03T17:47:25+0000,George Floyd Protests (2020),Black Lives Matter Movement,"Demonstrations, Protests and Riots"
281,2020-06-02T17:12:39+0000,Books and Literature,Children and Childhood,Parenting
