,publication_date,keyword_1,keyword_2,keyword_3
0,2020-06-01T22:02:17+0000,George Floyd Protests (2020),Black People,"Police Department (Minneapolis, Minn)"
1,2020-06-02T09:59:40+0000,George Floyd Protests (2020),Black Lives Matter Movement,Black People
2,2020-06-02T15:15:54+0000,George Floyd Protests (2020),United States Defense and Military Forces,Defense Department
3,2020-06-01T09:00:13+0000,Colleges and Universities,Coronavirus (2019-nCoV),Coronavirus Reopenings
4,2020-06-03T18:58:35+0000,George Floyd Protests (2020),"Demonstrations, Protests and Riots",Libraries and Librarians
5,2020-06-02T23:53:48+0000,George Floyd Protests (2020),Social Media,"Demonstrations, Protests and Riots"
6,2020-06-03T23:32:42+0000,Emergency Medical Treatment,Hospitals,Finances
7,2020-06-01T02:57:54+0000,New York City,"Demonstrations, Protests and Riots",Black Lives Matter Movement
8,2020-06-01T14:00:10+0000,"Lowe, Zane (1973- )",Pop and Rock Music,Rap and Hip-Hop
9,2020-06-03T17:53:10+0000,George Floyd Protests (2020),Black People,"Police Brutality, Misconduct and Shootings"
10,2020-06-02T03:35:37+0000,George Floyd Protests (2020),"Trump, Donald J","Carlson, Tucker"
11,2020-06-03T15:00:13+0000,Museums,Appointments and Executive Changes,"Hefferren, Aileen Carol"
12,2020-06-02T21:11:26+0000,Deaths (Obituaries),Coronavirus (2019-nCoV),Zoos
13,2020-06-03T21:53:54+0000,Gulf of Mexico,Global Warming,National Oceanic and Atmospheric Administration
14,2020-06-02T12:00:07+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
15,2020-06-03T22:59:49+0000,"Scholten, J D","King, Steven A","Feenstra, Randy"
16,2020-06-01T09:24:04+0000,New York City,"de Blasio, Bill",Black People
17,2020-06-03T09:00:16+0000,"Floyd, George (d 2020)","Murders, Attempted Murders and Homicides",George Floyd Protests (2020)
18,2020-06-01T09:00:26+0000,Automobiles,Transit Systems,Coronavirus (2019-nCoV)
19,2020-06-01T07:00:18+0000,Football,Quarantine (Life and Culture),Buffalo Bills
20,2020-06-01T23:51:51+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings",Black Lives Matter Movement
21,2020-06-02T20:50:43+0000,George Floyd Protests (2020),"Police Brutality, Misconduct and Shootings","Demonstrations, Protests and Riots"
