,publication_date,keyword_1,keyword_2,keyword_3
28,2020-03-02T10:00:01+0000,Fringe Groups and Movements,"Video Recordings, Downloads and Streaming",YouTube.com
29,2020-03-02T18:22:20+0000,Civilian Casualties,"War Crimes, Genocide and Crimes Against Humanity",Human Rights and Human Rights Violations
30,2020-03-02T20:32:49+0000,Presidential Election of 2020,"Brooks, David","Sanders, Bernard"
31,2020-03-03T08:00:07+0000,"de Blasio, Bill","McCray, Chirlane","Gracie Mansion (Manhattan, NY)"
32,2020-03-02T15:46:32+0000,Coronavirus (2019-nCoV),Japan,Olympic Games (2020)
33,2020-03-02T22:18:04+0000,Presidential Election of 2020,United States Politics and Government,Democratic Party
34,2020-03-02T18:31:44+0000,Presidential Election of 2020,"Klobuchar, Amy",Democratic Party
35,2020-03-01T04:04:45+0000,Politics and Government,United States Politics and Government,Coronavirus (2019-nCoV)
36,2020-03-02T22:18:04+0000,Presidential Election of 2020,United States Politics and Government,Democratic Party
37,2020-03-02T18:31:44+0000,Presidential Election of 2020,"Klobuchar, Amy",Democratic Party
38,2020-03-03T14:54:55+0000,Presidential Election of 2020,States (US),United States Politics and Government
39,2020-03-03T08:00:11+0000,Presidential Election of 2020,Race and Ethnicity,Hispanic-Americans
40,2020-03-02T10:00:01+0000,Fringe Groups and Movements,"Video Recordings, Downloads and Streaming",YouTube.com
41,2020-03-02T10:00:21+0000,Minnesota,Pipelines,Oil (Petroleum) and Gasoline
42,2020-03-03T18:16:46+0000,Mathematics,Physics,Institute for Advanced Study
43,2020-03-03T21:58:05+0000,ABORTION,Law and Legislation,LINDALE (TEX)
44,2020-03-03T10:00:47+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
45,2020-03-03T16:16:38+0000,Gymnastics,Sex Crimes,Child Abuse and Neglect
46,2020-03-03T22:32:27+0000,"Kania, Stanislaw",Deaths (Obituaries),Martial Law
47,2020-03-03T22:27:35+0000,"Battista, Bobbie",Deaths (Obituaries),News and News Media
48,2020-03-02T18:04:28+0000,Presidential Election of 2020,Nondisclosure Agreements,Bloomberg LP
49,2020-03-02T09:50:04+0000,Terrorism,Brain,Psychology and Psychologists
50,2020-03-03T10:00:18+0000,Presidential Election of 2020,Real Estate and Housing (Residential),Renting and Leasing (Real Estate)
51,2020-03-03T14:39:24+0000,Grapes,Wines,Global Warming
52,2020-03-03T18:16:46+0000,Mathematics,Physics,Institute for Advanced Study
53,2020-03-03T10:00:17+0000,Books and Literature,Writing and Writers,Poetry and Poets
54,2020-03-03T19:03:20+0000,AMERICAN HOSPITAL ASSN,China,Coronavirus (2019-nCoV)
55,2020-03-02T10:00:13+0000,Television,"Burd, David (Lil Dicky) (1988- )",FXX (TV Network)
56,2020-03-03T08:00:04+0000,United States Economy,Coronavirus (2019-nCoV),United States Politics and Government
57,2020-03-02T23:52:58+0000,Snack Foods,Fruit,Seril's Chakka Chips
58,2020-03-03T12:38:37+0000,ALZHEIMER'S DISEASE,Drugs (Pharmaceuticals),Clinical Trials
59,2020-03-02T18:04:28+0000,Presidential Election of 2020,Nondisclosure Agreements,Bloomberg LP
60,2020-03-02T09:50:04+0000,Terrorism,Brain,Psychology and Psychologists
61,2020-03-03T16:24:09+0000,Restaurants,"Williamsburg (Brooklyn, NY)","O'Neal, Aidan (Chef)"
62,2020-03-03T10:00:47+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
63,2020-03-03T10:00:18+0000,Presidential Election of 2020,Real Estate and Housing (Residential),Renting and Leasing (Real Estate)
64,2020-03-03T14:39:24+0000,Grapes,Wines,Global Warming
65,2020-03-02T10:00:20+0000,Computers and the Internet,Presidential Election of 2020,Primaries and Caucuses
66,2020-03-03T16:16:38+0000,Gymnastics,Sex Crimes,Child Abuse and Neglect
67,2020-03-03T22:32:27+0000,"Kania, Stanislaw",Deaths (Obituaries),Martial Law
68,2020-03-03T22:27:35+0000,"Battista, Bobbie",Deaths (Obituaries),News and News Media
69,2020-03-02T01:11:12+0000,Presidential Election of 2020,Primaries and Caucuses,"Biden, Joseph R Jr"
70,2020-03-01T12:00:08+0000,Primaries and Caucuses,Presidential Election of 2020,United States Politics and Government
71,2020-03-03T01:43:54+0000,"Sanders, Bernard",Voting and Voters,"AGE, CHRONOLOGICAL"
72,2020-03-02T20:33:38+0000,Law and Legislation,ABORTION,Roe v Wade (Supreme Court Decision)
73,2020-03-03T10:00:12+0000,ABORTION,Roe v Wade (Supreme Court Decision),Law and Legislation
74,2020-03-02T22:52:00+0000,Hepatitis,Preventive Medicine,Liver
75,2020-03-02T22:42:16+0000,United States Politics and Government,Coronavirus (2019-nCoV),Hoaxes and Pranks
76,2020-03-03T10:00:20+0000,ABORTION,Law and Legislation,Decisions and Verdicts
77,2020-03-02T21:33:01+0000,China,Coronavirus (2019-nCoV),Economic Conditions and Trends
78,2020-03-02T10:00:09+0000,Face,Touch (Sense),Hygiene and Cleanliness
79,2020-03-03T13:16:33+0000,Coronavirus (2019-nCoV),Labor and Jobs,National Health Service
80,2020-03-02T10:00:14+0000,Coronavirus (2019-nCoV),Teenagers and Adolescence,Psychology and Psychologists
81,2020-03-03T18:03:45+0000,Workplace Environment,Gender,Women and Girls
82,2020-03-03T14:00:18+0000,Ojai (Calif),Los Angeles (Calif),Real Estate and Housing (Residential)
83,2020-03-02T00:45:00+0000,Coronavirus (2019-nCoV),Surveillance of Citizens by Government,Epidemics
84,2020-03-03T10:00:07+0000,Books and Literature,"Roiphe, Katie",The Power Notebooks (Book)
85,2020-03-01T22:24:59+0000,ABORTION,Colombia,Women and Girls
86,2020-03-02T16:24:34+0000,Books and Literature,"King, Lily",Writers & Lovers: A Novel (Book)
87,2020-03-02T07:47:15+0000,Coronavirus (2019-nCoV),Hong Kong Protests (2019),Masks
88,2020-03-02T10:00:09+0000,Face,Touch (Sense),Hygiene and Cleanliness
89,2020-03-03T16:42:56+0000,Coronavirus (2019-nCoV),AIRLINES AND AIRPLANES,Hygiene and Cleanliness
90,2020-03-02T17:31:06+0000,Coronavirus (2019-nCoV),Hygiene and Cleanliness,United States
91,2020-03-02T23:54:01+0000,ABORTION,Women and Girls,Women's Rights
92,2020-03-03T17:39:13+0000,Books and Literature,Mananaland (Book),"Ryan, Pam Munoz"
93,2020-03-03T18:21:00+0000,Drugs (Pharmaceuticals),Politics and Government,Coronavirus (2019-nCoV)
94,2020-03-02T17:09:49+0000,Coronavirus (2019-nCoV),Tests (Medical),SARS (Severe Acute Respiratory Syndrome)
95,2020-03-03T14:00:22+0000,Real Estate and Housing (Residential),Ojai (Calif),California
96,2020-03-02T10:00:07+0000,Tests (Medical),Prostate Cancer,Prostate Gland
97,2020-03-03T21:30:09+0000,Discrimination,Race and Ethnicity,Women and Girls
98,2020-03-01T17:48:06+0000,Politics and Government,"Gantz, Benny","Netanyahu, Benjamin"
99,2020-03-01T12:51:36+0000,Fashion and Apparel,Paris Fashion Week,Comme des Garcons
100,2020-03-01T17:32:48+0000,Helicopters,Los Angeles County Sheriff's Department,"Bryant, Kobe"
101,2020-03-01T21:46:07+0000,Coronavirus (2019-nCoV),Italy,Roman Catholic Church
102,2020-03-01T01:47:06+0000,Primaries and Caucuses,Presidential Election of 2020,Black People
103,2020-03-02T17:24:54+0000,United States Defense and Military Forces,Black People,United States Air Force
104,2020-03-02T00:52:23+0000,Presidential Election of 2020,Primaries and Caucuses,South Carolina
105,2020-03-02T11:49:40+0000,Income Tax,Income Inequality,United States Economy
106,2020-03-03T02:01:49+0000,Driverless and Semiautonomous Vehicles,Venture Capital,Alphabet Inc
107,2020-03-03T02:50:29+0000,"Trump, Donald J",Presidential Election of 2020,North Carolina
108,2020-03-02T23:58:55+0000,Basketball,"Curry, Stephen",Golden State Warriors
109,2020-03-01T19:57:17+0000,Movies,Berlin International Film Festival,"Rasoulof, Mohammad"
110,2020-03-01T10:21:48+0000,Starbucks Corporation,Discrimination,Organized Labor
111,2020-03-01T19:57:17+0000,Movies,Berlin International Film Festival,"Rasoulof, Mohammad"
112,2020-03-02T11:49:40+0000,Income Tax,Income Inequality,United States Economy
113,2020-03-03T02:50:29+0000,"Trump, Donald J",Presidential Election of 2020,North Carolina
114,2020-03-01T21:47:02+0000,Computer Chips,APPOINTMENTS AND EXECUTIVE CHANGES,Engineering and Engineers
115,2020-03-01T15:17:56+0000,"Biden, Joseph R Jr",South Carolina,Presidential Election of 2020
116,2020-03-02T17:24:54+0000,United States Defense and Military Forces,Black People,United States Air Force
117,2020-03-02T00:52:23+0000,Presidential Election of 2020,Primaries and Caucuses,South Carolina
118,2020-03-02T02:06:00+0000,Coronavirus (2019-nCoV),Nursing Homes,Epidemics
119,2020-03-02T11:49:40+0000,Income Tax,Income Inequality,United States Economy
120,2020-03-03T02:50:29+0000,"Trump, Donald J",Presidential Election of 2020,North Carolina
121,2020-03-03T02:26:38+0000,Television,Movies,"Cooper, Bradley"
122,2020-03-02T16:39:44+0000,Presidential Election of 2020,Public Enemy,Chuck D (1960- )
123,2020-03-03T17:43:01+0000,Meat,Cooking and Cookbooks,Veganism
124,2020-03-03T01:50:55+0000,"Parkland, Fla, Shooting (2018)",Mass Shootings,Autism
125,2020-03-03T10:00:17+0000,Civilian Casualties,United States Defense and Military Forces,Nursing and Nurses
126,2020-03-03T10:00:25+0000,United States Politics and Government,"Elections, House of Representatives","Elections, Senate"
127,2020-03-03T01:03:55+0000,Coronavirus (2019-nCoV),Quarantines,Rhode Island
128,2020-03-03T18:21:00+0000,Drugs (Pharmaceuticals),Politics and Government,Coronavirus (2019-nCoV)
129,2020-03-03T20:00:10+0000,Coronavirus (2019-nCoV),Swine Influenza,China
130,2020-03-03T19:41:19+0000,Coronavirus (2019-nCoV),Federal Reserve System,Interest Rates
131,2020-03-02T23:40:42+0000,Cooking and Cookbooks,Diners (Eating Places),Esopus Creek (NY)
132,2020-03-03T21:10:02+0000,Baseball,Sports Injuries,New York Yankees
133,2020-03-03T13:21:17+0000,Presidential Election of 2020,Primaries and Caucuses,States (US)
134,2020-03-03T23:49:28+0000,Iran,Nuclear Weapons,Uranium
135,2020-03-03T16:24:13+0000,Restaurants,"Williamsburg (Brooklyn, NY)","O'Neal, Aidan (Chef)"
136,2020-03-01T01:38:44+0000,"Biden, Joseph R Jr",Democratic Party,Primaries and Caucuses
137,2020-03-02T19:58:09+0000,Dancing,New Victory Theater,Step Afrika!
138,2020-03-03T19:08:50+0000,Race and Ethnicity,Colleges and Universities,Oklahoma City (Okla)
139,2020-03-03T20:00:08+0000,Grand Staircase-Escalante National Monument (Utah),Escalante River (Utah),Land Use Policies
140,2020-03-03T14:00:05+0000,Theater,Designing Women (TV Program),Television
141,2020-03-03T10:00:08+0000,Books and Literature,Genetics and Heredity,Families and Family Life
142,2020-03-03T10:00:07+0000,Books and Literature,"Unferth, Deb Olin",Barn 8: A Novel (Book)
143,2020-03-03T16:17:30+0000,Art,Fashion and Apparel,Museums
144,2020-03-01T23:42:44+0000,Israel,Elections,Coronavirus (2019-nCoV)
145,2020-03-02T10:02:16+0000,New York City,New Jersey Transit,AMTRAK
146,2020-03-01T21:46:07+0000,Coronavirus (2019-nCoV),Italy,Roman Catholic Church
147,2020-03-01T17:32:48+0000,Helicopters,Los Angeles County Sheriff's Department,"Bryant, Kobe"
148,2020-03-01T15:36:16+0000,Greece,Europe,Turkey
149,2020-03-01T17:45:16+0000,United States Defense and Military Forces,Terrorism,Afghanistan War (2001- )
150,2020-03-02T00:00:06+0000,Texas,"Sanders, Bernard",Presidential Election of 2020
151,2020-03-03T16:21:20+0000,Real Estate Brokers,Landlords,Renting and Leasing (Real Estate)
152,2020-03-03T10:00:08+0000,Books and Literature,Genetics and Heredity,Families and Family Life
153,2020-03-03T10:00:07+0000,Books and Literature,"Unferth, Deb Olin",Barn 8: A Novel (Book)
154,2020-03-03T16:17:30+0000,Art,Fashion and Apparel,Museums
155,2020-03-03T20:00:08+0000,Grand Staircase-Escalante National Monument (Utah),Escalante River (Utah),Land Use Policies
156,2020-03-03T14:00:05+0000,Theater,Designing Women (TV Program),Television
157,2020-03-02T10:00:23+0000,ARCHITECTURE,"Fujimoto, Sou",Japan
158,2020-03-02T12:45:56+0000,Coronavirus (2019-nCoV),Epidemics,Religious Cults
159,2020-03-03T14:59:52+0000,Federal Reserve System,Interest Rates,Stocks and Bonds
160,2020-03-02T23:39:23+0000,Citrus Fruits,Brooklyn (NYC),Brins Jam and Marmalade
161,2020-03-03T14:00:05+0000,Theater,Designing Women (TV Program),Television
162,2020-03-03T20:00:08+0000,Grand Staircase-Escalante National Monument (Utah),Escalante River (Utah),Land Use Policies
163,2020-03-03T16:17:30+0000,Art,Fashion and Apparel,Museums
164,2020-03-02T10:00:07+0000,Tests (Medical),Prostate Cancer,Prostate Gland
165,2020-03-03T17:39:13+0000,Books and Literature,Mananaland (Book),"Ryan, Pam Munoz"
166,2020-03-01T01:47:06+0000,Primaries and Caucuses,Presidential Election of 2020,Black People
167,2020-03-01T17:48:06+0000,Politics and Government,"Gantz, Benny","Netanyahu, Benjamin"
168,2020-03-02T02:06:00+0000,Coronavirus (2019-nCoV),Nursing Homes,Epidemics
169,2020-03-03T02:26:38+0000,Television,Movies,"Cooper, Bradley"
170,2020-03-03T01:50:55+0000,"Parkland, Fla, Shooting (2018)",Mass Shootings,Autism
171,2020-03-03T01:03:55+0000,Coronavirus (2019-nCoV),Quarantines,Rhode Island
172,2020-03-03T18:21:00+0000,Drugs (Pharmaceuticals),Politics and Government,Coronavirus (2019-nCoV)
173,2020-03-03T02:14:39+0000,Coronavirus (2019-nCoV),Basketball,National Basketball Assn
174,2020-03-02T23:54:01+0000,ABORTION,Women and Girls,Women's Rights
175,2020-03-03T14:00:22+0000,Real Estate and Housing (Residential),Ojai (Calif),California
176,2020-03-02T10:00:07+0000,Tests (Medical),Prostate Cancer,Prostate Gland
177,2020-03-03T16:00:05+0000,Ceramics and Pottery,"Apparatus Studio (Manhattan, NY, Retailer)","Anderson, Jeremy (Design Executive)"
178,2020-03-03T21:22:04+0000,Primaries and Caucuses,Presidential Election of 2020,United States
179,2020-03-03T10:00:01+0000,Books and Literature,"Enright, Anne",Actress (Book)
180,2020-03-03T16:34:57+0000,Coronavirus (2019-nCoV),Pregnancy and Childbirth,Babies and Infants
181,2020-03-01T15:07:19+0000,Coronavirus (2019-nCoV),Travel Warnings,Travel and Vacations
182,2020-03-03T18:07:25+0000,Coronavirus (2019-nCoV),Protective Clothing and Gear,Quarantines
183,2020-03-02T12:52:02+0000,Movies,Television,Web-Original Programming
184,2020-03-02T14:00:20+0000,Real Estate and Housing (Residential),Los Angeles (Calif),Palm Springs (Calif)
185,2020-03-02T11:43:23+0000,Coronavirus (2019-nCoV),Organization for Economic Cooperation and Development,Federal Reserve System
186,2020-03-01T18:19:43+0000,Movies,Blumhouse Productions,Universal Pictures
187,2020-03-02T16:19:04+0000,Crossword Puzzles,"Lucido, Aimee (Crossword Constructor)",Television
188,2020-03-01T17:18:28+0000,India,"Modi, Narendra",Politics and Government
189,2020-03-01T23:07:53+0000,Presidential Election of 2020,"Buttigieg, Pete (1982- )",South Carolina
190,2020-03-01T20:50:30+0000,"Milken, Michael R","Amnesties, Commutations and Pardons",Securities and Commodities Violations
191,2020-03-02T04:24:45+0000,"Buttigieg, Pete (1982- )",Presidential Election of 2020,Homosexuality and Bisexuality
192,2020-03-02T23:27:23+0000,United States Defense and Military Forces,AMERICANS ABROAD,Coronavirus (2019-nCoV)
193,2020-03-02T18:01:14+0000,News and News Media,China,United States International Relations
194,2020-03-03T10:00:20+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
195,2020-03-03T17:51:31+0000,Kim Yo-jong,Kim Jong-un,North Korea
196,2020-03-02T21:33:36+0000,Music,Grammy Awards,"DUGAN, DEBORAH"
197,2020-03-01T12:00:08+0000,Stocks and Bonds,United States Economy,Coronavirus (2019-nCoV)
198,2020-03-01T10:00:01+0000,Afghanistan War (2001- ),AFGHANISTAN,War and Revolution
199,2020-03-01T00:06:07+0000,"Biden, Joseph R Jr","Sanders, Bernard",Democratic Party
200,2020-03-01T02:20:04+0000,"Steyer, Thomas F",Democratic Party,Presidential Election of 2020
201,2020-03-01T11:05:36+0000,Politics and Government,Corruption (Institutional),Elections
202,2020-03-01T12:44:55+0000,AFGHANISTAN,Terrorism,Taliban
203,2020-03-03T15:00:12+0000,"Durst, Robert A","Murders, Attempted Murders and Homicides",Documentary Films and Programs
204,2020-03-03T23:38:09+0000,Coronavirus (2019-nCoV),Travel Warnings,"Conventions, Fairs and Trade Shows"
205,2020-03-03T07:08:59+0000,"Biden, Joseph R Jr","Bloomberg, Michael R","Buttigieg, Pete (1982- )"
206,2020-03-03T15:49:06+0000,"Hahn, Stephen M (1960- )",Coronavirus (2019-nCoV),Food and Drug Administration
207,2020-03-03T10:00:20+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
208,2020-03-03T19:41:37+0000,Opera,Metropolitan Opera,Der Fliegende Hollander (Opera)
209,2020-03-03T21:50:41+0000,"Trump, Donald J",Washington Post,Libel and Slander
210,2020-03-03T15:56:59+0000,Theater,London (England),Death of a Salesman (Play)
211,2020-03-02T10:00:21+0000,"Catroux, Betty","Saint Laurent, Yves","Berge, Pierre"
212,2020-03-02T13:00:02+0000,Classical Music,"Boulanger, Nadia (1887-1979)",Bard SummerScape Festival
213,2020-03-02T12:52:02+0000,Movies,Television,Web-Original Programming
214,2020-03-02T14:00:20+0000,Real Estate and Housing (Residential),Los Angeles (Calif),Palm Springs (Calif)
215,2020-03-02T11:43:23+0000,Coronavirus (2019-nCoV),Organization for Economic Cooperation and Development,Federal Reserve System
216,2020-03-01T18:19:43+0000,Movies,Blumhouse Productions,Universal Pictures
217,2020-03-02T16:19:04+0000,Crossword Puzzles,"Lucido, Aimee (Crossword Constructor)",Television
218,2020-03-01T16:58:17+0000,Paid Time Off,Coronavirus (2019-nCoV),Telecommuting
219,2020-03-01T17:18:28+0000,India,"Modi, Narendra",Politics and Government
220,2020-03-02T08:00:07+0000,Basketball (College),Coaches and Managers,Draft and Recruitment (Sports)
221,2020-03-01T20:41:55+0000,Opera,Metropolitan Opera,"Gelb, Peter"
222,2020-03-01T20:41:55+0000,Opera,Metropolitan Opera,"Gelb, Peter"
223,2020-03-01T10:00:11+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
224,2020-03-02T10:59:41+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
225,2020-03-02T18:01:05+0000,Oil (Petroleum) and Gasoline,Organization of the Petroleum Exporting Countries,"Prices (Fares, Fees and Rates)"
226,2020-03-02T23:28:05+0000,United States Economy,Credit and Debt,Stocks and Bonds
227,2020-03-02T22:59:22+0000,Counterfeit Merchandise,Liability for Products,E-Commerce
228,2020-03-03T00:31:12+0000,Demolition,Affiliated Computer Services,Legoland
229,2020-03-02T18:11:08+0000,Deaths (Obituaries),INSIDE THE ACTORS STUDIO (TV PROGRAM),ACTORS STUDIO
230,2020-03-03T10:57:23+0000,Presidential Election of 2020,Primaries and Caucuses,Endorsements
231,2020-03-02T10:00:14+0000,Coronavirus (2019-nCoV),Medicine and Health,Disasters and Emergencies
232,2020-03-02T10:00:08+0000,Mental Health and Disorders,Anxiety and Stress,Depression (Mental)
233,2020-03-03T10:00:13+0000,Presidential Election of 2020,Endorsements,"Police Brutality, Misconduct and Shootings"
234,2020-03-03T23:00:04+0000,Presidential Election of 2020,Democratic Party,"Sanders, Bernard"
235,2020-03-03T08:47:45+0000,Standard & Poor's 500-Stock Index,Banking and Financial Institutions,Coronavirus (2019-nCoV)
236,2020-03-01T14:19:35+0000,Olympic Games (2020),Marathon Running,"Seidel, Molly (1994- )"
237,2020-03-03T10:00:07+0000,Books and Literature,Christians and Christianity,Roman Catholic Church
238,2020-03-03T00:33:05+0000,Presidential Election of 2020,Primaries and Caucuses,United States Politics and Government
239,2020-03-03T20:50:35+0000,Coronavirus (2019-nCoV),Interest Rates,Federal Reserve System
240,2020-03-02T00:46:07+0000,"Khalilzad, Zalmay",Afghanistan War (2001- ),Taliban
241,2020-03-03T10:00:11+0000,Presidential Election of 2020,Primaries and Caucuses,United States Politics and Government
242,2020-03-03T10:00:17+0000,Magazines,Instagram Inc,Etsy Inc
243,2020-03-03T19:58:29+0000,Art,"Herrera, Carmen",Publicolor
244,2020-03-01T23:40:14+0000,Coronavirus (2019-nCoV),Centers for Disease Control and Prevention,Manhattan (NYC)
245,2020-03-01T21:40:34+0000,Coronavirus (2019-nCoV),Epidemics,"Trump, Donald J"
246,2020-03-03T22:50:16+0000,Health Insurance and Managed Care,Coronavirus (2019-nCoV),Medicine and Health
247,2020-03-02T22:44:05+0000,Theater,"Broderick, Matthew","Parker, Sarah Jessica"
248,2020-03-03T10:08:34+0000,New York City,Coronavirus (2019-nCoV),Water
249,2020-03-03T18:07:03+0000,Russia,Politics and Government,"Putin, Vladimir V"
250,2020-03-03T17:39:04+0000,Cooking and Cookbooks,Vegetarianism,Veganism
251,2020-03-03T22:22:23+0000,Transit Systems,Subways,Coronavirus (2019-nCoV)
252,2020-03-02T13:25:53+0000,Presidential Election of 2020,Primaries and Caucuses,"Biden, Joseph R Jr"
253,2020-03-02T13:43:51+0000,Presidential Election of 2020,"Elections, Senate",Democratic Party
254,2020-03-03T16:33:23+0000,Tornadoes,Deaths (Fatalities),Nashville (Tenn)
255,2020-03-02T10:00:05+0000,Terrorism,Mass Shootings,Discrimination
256,2020-03-02T00:00:07+0000,Coronavirus (2019-nCoV),International Trade and World Market,United States Economy
257,2020-03-03T21:22:04+0000,Primaries and Caucuses,Presidential Election of 2020,Elections
258,2020-03-01T16:09:13+0000,Paid Time Off,Workplace Hazards and Violations,Labor and Jobs
259,2020-03-03T00:33:05+0000,Presidential Election of 2020,Primaries and Caucuses,United States Politics and Government
260,2020-03-03T16:00:05+0000,Books and Literature,Postcolonial Love Poem: Poems (Book),"Diaz, Natalie"
261,2020-03-03T23:25:01+0000,Coronavirus (2019-nCoV),States (US),Epidemics
262,2020-03-03T10:00:09+0000,Books and Literature,"Erdrich, Louise",The Night Watchman (Book)
263,2020-03-03T10:24:59+0000,Coronavirus (2019-nCoV),Shortages,Emergency Medical Treatment
264,2020-03-03T06:45:14+0000,Politics and Government,Coronavirus (2019-nCoV),Epidemics
265,2020-03-02T10:00:20+0000,Emergency Medical Treatment,Coronavirus (2019-nCoV),Disasters and Emergencies
266,2020-03-02T10:00:12+0000,Physics,Space and Astronomy,Stars and Galaxies
267,2020-03-03T10:00:08+0000,Books and Literature,This Town Sleeps (Book),"Staples, Dennis E"
268,2020-03-01T20:15:47+0000,Turkey,Syria,Defense and Military Forces
269,2020-03-02T01:25:37+0000,Immigration and Emigration,APPOINTMENTS AND EXECUTIVE CHANGES,United States Politics and Government
270,2020-03-01T20:59:57+0000,Presidential Election of 2020,Civil Rights and Liberties,Civil Rights Movement (1954-68)
271,2020-03-02T16:50:27+0000,United States Politics and Government,Presidents and Presidency (US),Constitution (US)
272,2020-03-02T05:15:45+0000,Coronavirus (2019-nCoV),Stocks and Bonds,Interest Rates
273,2020-03-03T00:00:07+0000,Stocks and Bonds,Credit and Debt,Coronavirus (2019-nCoV)
274,2020-03-02T19:39:55+0000,Classical Music,"Beethoven, Ludwig van","Langree, Louis"
275,2020-03-02T11:00:06+0000,Presidential Election of 2020,Criminal Justice,Democratic Party
276,2020-03-03T12:37:05+0000,United States Economy,Banking and Financial Institutions,Coronavirus (2019-nCoV)
277,2020-03-01T10:00:10+0000,News and News Media,Road Trips,Newspapers
278,2020-03-01T14:34:38+0000,Fashion and Apparel,Books and Literature,Design
279,2020-03-03T13:42:51+0000,Politics and Government,Elections,Corruption (Institutional)
280,2020-03-03T19:09:30+0000,Television,Movies,AMAZON.COM INC
281,2020-03-01T22:46:03+0000,Deaths (Obituaries),Roman Catholic Church,Nicaragua
282,2020-03-02T20:19:52+0000,Supreme Court (US),Immigration and Emigration,Habeas Corpus
283,2020-03-02T15:01:57+0000,Barclays PLC,Sherborne Investors Management LP,Banking and Financial Institutions
284,2020-03-03T08:00:09+0000,"Biden, Joseph R Jr","Sanders, Bernard",North Carolina
285,2020-03-03T12:37:05+0000,United States Economy,Banking and Financial Institutions,Coronavirus (2019-nCoV)
286,2020-03-03T08:00:09+0000,"Biden, Joseph R Jr","Sanders, Bernard",North Carolina
287,2020-03-03T13:42:51+0000,Politics and Government,Elections,Corruption (Institutional)
288,2020-03-03T19:09:30+0000,Television,Movies,AMAZON.COM INC
289,2020-03-01T22:46:03+0000,Deaths (Obituaries),Roman Catholic Church,Nicaragua
290,2020-03-02T22:57:57+0000,"Weinstein, Harvey",#MeToo Movement,Sex Crimes
291,2020-03-02T15:01:57+0000,Barclays PLC,Sherborne Investors Management LP,Banking and Financial Institutions
292,2020-03-03T08:00:07+0000,Football,Organized Labor,National Football League
293,2020-03-02T20:19:52+0000,Supreme Court (US),Immigration and Emigration,Habeas Corpus
294,2020-03-02T14:08:55+0000,Executive Compensation,Deaths (Obituaries),General Electric Company
