,publication_date,keyword_1,keyword_2,keyword_3
0,2020-03-01T07:22:34+0000,Television,Saturday Night Live (TV Program),"Mulaney, John"
1,2020-03-01T11:51:43+0000,Presidential Election of 2020,Primaries and Caucuses,Democratic Party
2,2020-03-02T08:00:09+0000,Baseball,Los Angeles Dodgers,Houston Astros
3,2020-03-02T08:00:11+0000,Snow and Snowstorms,New York City,Global Warming
4,2020-03-01T21:12:51+0000,Coronavirus (2019-nCoV),Presidential Election of 2020,United States Economy
5,2020-03-01T20:55:33+0000,Stocks and Bonds,Standard & Poor's 500-Stock Index,Coronavirus (2019-nCoV)
6,2020-03-01T17:00:03+0000,Strategic Arms Reduction Treaty,United States International Relations,ARMS CONTROL AND LIMITATION AND DISARMAMENT
7,2020-03-01T23:56:22+0000,Golf,PGA Tour Inc,"Im, Sungjae"
8,2020-03-02T20:33:38+0000,Law and Legislation,ABORTION,Roe v Wade (Supreme Court Decision)
9,2020-03-03T01:43:54+0000,"Sanders, Bernard",Voting and Voters,"AGE, CHRONOLOGICAL"
10,2020-03-02T06:00:07+0000,Coronavirus (2019-nCoV),Travel Warnings,Epidemics
11,2020-03-02T22:52:00+0000,Hepatitis,Preventive Medicine,Liver
12,2020-03-02T21:33:01+0000,China,Coronavirus (2019-nCoV),Economic Conditions and Trends
13,2020-03-02T10:00:09+0000,Face,Touch (Sense),Hygiene and Cleanliness
14,2020-03-02T22:42:16+0000,United States Politics and Government,Coronavirus (2019-nCoV),Hoaxes and Pranks
15,2020-03-03T16:23:22+0000,Dresses,Fashion and Apparel,Weddings and Engagements
16,2020-03-03T10:00:22+0000,Travel and Vacations,Caribbean Area,Grenada
17,2020-03-03T10:00:20+0000,ABORTION,Law and Legislation,Decisions and Verdicts
18,2020-03-03T10:00:22+0000,Travel and Vacations,Caribbean Area,Grenada
19,2020-03-03T18:03:45+0000,Workplace Environment,Gender,Women and Girls
20,2020-03-03T11:31:22+0000,Presidential Election of 2020,Stocks and Bonds,General Electric Company
21,2020-03-02T05:01:06+0000,Politics and Government,Elections,Blue and White (Israeli Political Party)
22,2020-03-02T10:00:19+0000,Theater,Manhattan Theater Club,"Colin, Margaret"
23,2020-03-02T14:45:06+0000,Patient Protection and Affordable Care Act (2010),Supreme Court (US),"Obama, Barack"
24,2020-03-02T20:32:49+0000,Presidential Election of 2020,"Brooks, David","Sanders, Bernard"
25,2020-03-02T15:46:32+0000,Coronavirus (2019-nCoV),Japan,Olympic Games (2020)
26,2020-03-02T19:02:07+0000,Performance Art,Ulay (1943-2020),"ABRAMOVIC, MARINA"
27,2020-03-02T23:34:33+0000,"McCusker, Elaine A","Trump, Donald J",Defense Department
